i,timestamp,trend,entry_score,wp,dp,rs,vs,bs,bb,ret5,ret5_hot,hot_ret5,breakout_entry,vshape,strong_breakout_context,alpha_ok_if_raw1,in_uptrend_macro,is_real_entry
92,2018-09-07 04:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.013344630374920619,0.06,False,False,False,False,False,False,False
93,2018-09-07 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.006092347156904543,0.06,False,False,False,False,False,False,False
94,2018-09-07 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009414785492671385,0.06,False,False,False,False,False,False,False
95,2018-09-10 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008664028238314359,0.06,False,False,False,False,False,False,False
96,2018-09-10 03:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.012977262977263093,0.06,False,False,False,False,False,False,False
97,2018-09-10 04:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,0.012559038213825646,0.06,False,False,False,False,False,False,False
98,2018-09-10 06:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.005524274938914164,0.06,False,False,False,False,False,False,False
99,2018-09-10 07:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.007737148913619429,0.06,False,False,False,False,False,False,False
100,2018-09-11 02:00:00+00:00,weak,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.005302226935312793,0.06,False,False,False,False,False,False,False
101,2018-09-11 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.002435150873478009,0.06,False,False,False,False,False,False,False
102,2018-09-11 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0009540973179265055,0.06,False,False,False,False,False,False,False
103,2018-09-11 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010041662215575231,0.06,False,False,False,False,False,False,False
104,2018-09-11 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.01805169835505227,0.06,False,False,False,False,False,False,False
105,2018-09-12 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.02110874200426438,0.06,False,False,False,False,False,False,False
106,2018-09-12 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.01634472511144125,0.06,False,False,False,False,False,False,False
107,2018-09-12 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.011755983901715616,0.06,False,False,False,False,False,False,False
108,2018-09-12 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.013855103120042234,0.06,False,False,False,False,False,False,False
109,2018-09-12 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.003252544329031659,0.06,False,False,False,False,False,False,False
110,2018-09-13 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.001983712674879956,0.06999999999999999,False,False,False,False,True,False,False
111,2018-09-13 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0008354218880535225,0.06999999999999999,False,False,False,False,True,False,False
112,2018-09-13 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.000837433267036447,0.06999999999999999,False,False,False,False,True,False,False
113,2018-09-13 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0018777383684540627,0.06999999999999999,False,False,False,False,True,False,False
114,2018-09-13 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0031578947368420263,0.06999999999999999,False,False,False,False,True,False,False
115,2018-09-14 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0017784287059317005,0.06999999999999999,False,False,False,False,True,False,False
116,2018-09-14 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0016722408026756952,0.06999999999999999,False,False,False,False,True,False,False
117,2018-09-14 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0036668412781561965,0.06999999999999999,False,False,False,False,False,False,False
118,2018-09-14 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0015677257525084087,0.06999999999999999,False,False,False,False,True,True,False
119,2018-09-14 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.005771248688352548,0.06999999999999999,False,False,False,False,True,True,False
120,2018-09-17 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0028195488721804995,0.06999999999999999,False,False,False,False,True,True,False
121,2018-09-17 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.004904006677796224,0.06,False,False,False,False,False,True,False
122,2018-09-17 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0031315240083507057,0.06,False,False,False,False,False,True,False
123,2018-09-17 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.005113221329437478,0.06,False,False,False,False,True,True,False
124,2018-09-17 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.008346374543557689,0.06,False,False,False,False,True,True,False
125,2018-09-18 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0072258875274897605,0.06,False,False,False,False,True,True,False
126,2018-09-18 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.005242738806752634,0.06,False,False,False,False,False,True,False
127,2018-09-18 04:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.006596858638743375,0.06,False,False,False,False,False,True,False
128,2018-09-18 06:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0006293266205161796,0.06,False,False,False,False,True,True,False
129,2018-09-18 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.012098895318253478,0.06999999999999999,False,False,False,False,True,True,False
130,2018-09-19 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.017299578059071674,0.06999999999999999,False,False,False,False,True,True,False
131,2018-09-19 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.016338146937915132,0.06999999999999999,False,False,False,False,False,True,False
132,2018-09-19 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.01781385053230733,0.06999999999999999,False,False,False,False,False,True,False
133,2018-09-19 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009014675052410936,0.06999999999999999,False,False,False,False,True,True,False
134,2018-09-19 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0008316008316007206,0.06999999999999999,False,False,False,False,True,True,False
135,2018-09-20 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.00041476565740350413,0.06999999999999999,False,False,False,False,False,True,False
136,2018-09-20 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.000518564613150696,0.06999999999999999,False,False,False,False,True,True,False
137,2018-09-20 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0018641259320630876,0.06999999999999999,False,False,False,False,False,True,False
138,2018-09-20 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.004363183045917207,0.06999999999999999,False,False,False,False,True,True,False
139,2018-09-20 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008516825924387295,0.06999999999999999,False,False,False,False,True,True,False
140,2018-09-21 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.011721991701244772,0.06999999999999999,False,False,False,False,True,True,False
141,2018-09-21 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010676894371307144,0.06999999999999999,False,False,False,False,False,True,False
142,2018-09-21 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.010064328698900171,0.06999999999999999,False,False,False,False,True,True,False
143,2018-09-21 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009412494828299645,0.06999999999999999,False,False,False,False,True,True,False
144,2018-09-21 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.009268795056642576,0.06999999999999999,False,True,False,True,True,True,False
145,2018-09-24 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.004716497487952553,0.06999999999999999,False,False,False,False,False,True,False
146,2018-09-24 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00502564102564107,0.06999999999999999,False,False,False,False,True,True,False
147,2018-09-24 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.008628659476117129,0.06999999999999999,False,False,False,False,False,True,False
148,2018-09-24 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.00573829285787486,0.06999999999999999,False,False,False,False,True,True,False
149,2018-09-24 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.001530612244897922,0.06999999999999999,False,False,False,False,True,True,False
150,2018-09-25 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0013266659863251373,0.06999999999999999,False,False,False,False,False,True,False
151,2018-09-25 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0026533319726502747,0.06999999999999999,False,False,False,False,True,True,False
152,2018-09-25 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0009165902841430373,0.06999999999999999,False,False,False,False,False,True,False
153,2018-09-25 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0007131940906774936,0.06999999999999999,False,False,False,False,True,True,False
154,2018-09-25 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0009169638308711425,0.06999999999999999,False,False,False,False,True,True,False
155,2018-09-26 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0003057480635955123,0.06999999999999999,False,False,False,False,False,True,False
156,2018-09-26 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.001221374045801582,0.06999999999999999,False,False,False,False,True,True,False
157,2018-09-26 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.001322751322751392,0.06999999999999999,False,False,False,False,True,True,False
158,2018-09-26 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.005905110975361394,0.06999999999999999,False,True,False,True,True,True,False
159,2018-09-26 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0004079135223331587,0.06999999999999999,False,False,False,False,True,True,False
160,2018-09-27 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0030565461029037344,0.06999999999999999,False,False,False,False,True,True,False
161,2018-09-27 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0019314831757650808,0.06999999999999999,False,False,False,False,True,True,False
162,2018-09-27 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0012193882735495043,0.06999999999999999,False,False,False,False,False,True,False
163,2018-09-27 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0023279352226720507,0.06999999999999999,False,False,False,False,True,True,False
164,2018-09-27 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.004892966360856121,0.06999999999999999,False,False,False,False,True,True,False
165,2018-09-28 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0037582529202642156,0.06999999999999999,False,False,False,False,True,True,False
166,2018-09-28 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.005703809329802523,0.06999999999999999,False,False,False,False,True,True,False
167,2018-09-28 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.006918302980974733,0.06999999999999999,False,False,False,False,False,True,False
168,2018-09-28 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.001318859693618668,0.06999999999999999,False,False,False,False,True,True,False
169,2018-09-28 07:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0016230472712517319,0.06999999999999999,False,False,False,False,True,True,False
170,2018-10-01 02:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0016191054442420416,0.06999999999999999,False,False,False,False,False,True,False
171,2018-10-01 03:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.002329349807575598,0.06999999999999999,False,False,False,False,False,True,False
172,2018-10-01 04:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.0,0.06999999999999999,False,False,False,False,False,True,False
173,2018-10-01 06:00:00+00:00,strong,2,0.5,0.05,0.0,1.0,0.0,0.5,0.002532928064842954,0.06999999999999999,False,False,False,False,True,True,False
174,2018-10-01 07:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.002531901964755945,0.06,False,False,False,False,True,True,False
175,2018-10-02 02:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0045463730046474415,0.06,False,False,False,False,False,True,False
176,2018-10-02 03:00:00+00:00,moderate,2,0.5,0.05,0.0,1.0,0.0,0.5,-0.0036374658987572417,0.06,False,False,False,False,True,True,False
